version,uniform_mse,uniform_mae,adaptive_mse,adaptive_mae,mse_x_uniform,mse_y_uniform,mse_z_uniform,mse_x_adaptive,mse_y_adaptive,mse_z_adaptive,mesh
0,2.339403117634809e-06,0.0013248074861238479,1.8613694029717493e-06,0.001178749149961416,2.2970399774911926e-06,2.4496002808894303e-06,2.2715690945238055e-06,1.7889504062595534e-06,1.906384655673357e-06,1.8887731469823452e-06,branch
1,2.2944090570873534e-06,0.0013139940292694093,1.8935801772002383e-06,0.0011818284949797278,2.3087234711630646e-06,2.304290328428487e-06,2.2702133716705212e-06,1.8250411235654683e-06,1.935695289524191e-06,1.9200041185110604e-06,branch
2,2.3137304021460873e-06,0.0013114496864797913,1.8896028987899584e-06,0.0011834610583613123,2.2535843304955423e-06,2.407363226468246e-06,2.280243649474477e-06,1.9666148085901557e-06,1.7812033151217992e-06,1.9209905726579252e-06,branch
3,2.31623799223784e-06,0.0013159022863619646,1.9209894780134374e-06,0.001197363789523979,2.3019611186646565e-06,2.351936386204328e-06,2.2948164718445234e-06,1.9714666302646092e-06,1.8907222380997118e-06,1.9007795656759907e-06,branch
4,2.3193249019703457e-06,0.0013200368433960823,1.8768927956538584e-06,0.0011779395050026272,2.351768415999986e-06,2.2695857635612465e-06,2.336620526349817e-06,1.8202860952441573e-06,1.8773013666739904e-06,1.9330909250434153e-06,branch
0,2.5735636000765344e-06,0.0013824181634276994,1.1916824004900112e-06,0.0009558356569019208,2.525702349479517e-06,2.669286101270609e-06,2.5257023494794822e-06,1.2594505238351497e-06,1.0561461522223727e-06,1.2594505254125095e-06,cylinder
1,2.5419575455504503e-06,0.0013824181634277365,1.1536017195718091e-06,0.0009152478433595163,2.547014457800178e-06,2.5675447555260064e-06,2.5113134233251663e-06,1.1632881101909388e-06,1.0826284927160925e-06,1.2148885558083954e-06,cylinder
2,2.419563840492901e-06,0.0013824181634277408,1.0420536332780225e-06,0.0008496090876850706,2.271283718576899e-06,2.5327025555509263e-06,2.4547052473508775e-06,1.0703941072561513e-06,9.570462878813073e-07,1.0987205046966075e-06,cylinder
3,2.5311324940787014e-06,0.001382418163427632,1.0735629723757998e-06,0.0008716579899435473,2.6111828943954577e-06,2.4931579294754462e-06,2.4890566583651984e-06,1.0108275596178784e-06,1.1201358638637903e-06,1.089725493645729e-06,cylinder
4,2.5500358956819407e-06,0.0013824181634278679,1.249652348493677e-06,0.0009422440360321895,2.6071304882067913e-06,2.4516232732883258e-06,2.5913539255507094e-06,1.161034754871365e-06,1.235000038929731e-06,1.3529222516799353e-06,cylinder
0,4.2777993369504385e-07,0.0005743030206011981,2.8492545477082986e-07,0.00045614914803005733,4.2108638065860313e-07,4.6484795040501596e-07,3.974054700215148e-07,2.8256255656986515e-07,3.004512338172156e-07,2.7176257392540717e-07,explosive
1,4.003743178380486e-07,0.0005514721735268613,2.8511528105789585e-07,0.0004572286714841216,3.9213114563003055e-07,4.204272856371517e-07,3.8856452224696566e-07,2.788192203269799e-07,2.9858294776193754e-07,2.779436750847702e-07,explosive
2,3.803160880474863e-07,0.0005352004648382398,2.9024906216265916e-07,0.00046155039890506764,3.840878707771997e-07,3.834482830109894e-07,3.7341211035427067e-07,2.948896559706493e-07,3.042672430925431e-07,2.7159028742478426e-07,explosive
3,3.9691365960118657e-07,0.0005483187416103467,2.848331072873443e-07,0.0004581275652625358,4.010511979368056e-07,3.8935451452926366e-07,4.0033526633749e-07,2.8588719499907543e-07,2.785596449874437e-07,2.900524818755144e-07,explosive
4,3.8445560456889113e-07,0.0005369663867113866,2.8375022003754033e-07,0.00045683065094286604,3.7623436360206776e-07,3.906995334946174e-07,3.8643291660999066e-07,2.8376516772335555e-07,2.8065977065345096e-07,2.86825721735815e-07,explosive
0,3.5749223701523693e-07,0.0004939545467004921,2.660159278553529e-07,0.0004410177784402227,4.089326633797437e-07,3.4458829533800574e-07,3.1895575232796585e-07,3.093502862150865e-07,2.817612882220205e-07,2.0693620912895186e-07,fence
1,4.913216856368568e-07,0.0006085373114367404,2.826829391741924e-07,0.00046066318569645115,4.80873038322022e-07,4.988084587257487e-07,4.942835598627981e-07,2.819417837360694e-07,2.8244717429396915e-07,2.8365985949253976e-07,fence
2,4.7650590500571116e-07,0.0005942144658439282,2.769119789245742e-07,0.0004483651593219,4.584083880754366e-07,4.954684492775395e-07,4.7564087766415705e-07,2.934834042596767e-07,2.757391769587452e-07,2.6151335555530046e-07,fence
3,4.762563322340843e-07,0.0005978869903549973,2.8768918737086863e-07,0.00046448867454458077,4.7036205871446227e-07,4.768854220569723e-07,4.815215159308177e-07,2.8569985726307433e-07,2.79783610679329e-07,2.9758409417020235e-07,fence
